('fuck you', array([[ 0.95598597,  0.04401403]]))
('to create', array([[ 0.07724615,  0.92275385]]))
('explain the', array([[ 0.07724063,  0.92275937]]))
('it does', array([[ 0.07722681,  0.92277319]]))
('good to', array([[ 0.07719223,  0.92280777]]))
('how it', array([[ 0.07719154,  0.92280846]]))
('the best', array([[ 0.07712042,  0.92287958]]))
('please add', array([[ 0.07706061,  0.92293939]]))
('the non', array([[ 0.0770109,  0.9229891]]))
('that seems', array([[ 0.07701059,  0.92298941]]))
('copyright information', array([[ 0.07694416,  0.92305584]]))
('2006 at', array([[ 0.07692522,  0.92307478]]))
('there also', array([[ 0.07691169,  0.92308831]]))
('as this', array([[ 0.07684016,  0.92315984]]))
('there should', array([[ 0.0766603,  0.9233397]]))
('the specific', array([[ 0.07662786,  0.92337214]]))
('believe this', array([[ 0.07658264,  0.92341736]]))
('to present', array([[ 0.07651946,  0.92348054]]))
('jpg image', array([[ 0.07646876,  0.92353124]]))
('the game', array([[ 0.07636843,  0.92363157]]))
('the information', array([[ 0.07636048,  0.92363952]]))
('the above', array([[ 0.07635909,  0.92364091]]))
('there for', array([[ 0.07629904,  0.92370096]]))
('the debate', array([[ 0.07627685,  0.92372315]]))
('happy to', array([[ 0.07625585,  0.92374415]]))
('it we', array([[ 0.07623874,  0.92376126]]))
('after the', array([[ 0.07620064,  0.92379936]]))
('the official', array([[ 0.07617657,  0.92382343]]))
('perhaps it', array([[ 0.07612286,  0.92387714]]))
('may have', array([[ 0.07612279,  0.92387721]]))
('add the', array([[ 0.07610392,  0.92389608]]))
('the guidelines', array([[ 0.07604999,  0.92395001]]))
('featured article', array([[ 0.07602252,  0.92397748]]))
('good work', array([[ 0.07591955,  0.92408045]]))
('article if', array([[ 0.07591279,  0.92408721]]))
('of copyright', array([[ 0.07589696,  0.92410304]]))
('the various', array([[ 0.07587634,  0.92412366]]))
('any more', array([[ 0.07576536,  0.92423464]]))
('to thank', array([[ 0.07573894,  0.92426106]]))
('but ve', array([[ 0.07564987,  0.92435013]]))
('added it', array([[ 0.07564568,  0.92435432]]))
('how the', array([[ 0.07559805,  0.92440195]]))
('image page', array([[ 0.07559105,  0.92440895]]))
('it should', array([[ 0.07558766,  0.92441234]]))
('this would', array([[ 0.07551706,  0.92448294]]))
('made it', array([[ 0.07544147,  0.92455853]]))
('the years', array([[ 0.07536276,  0.92463724]]))
('article of', array([[ 0.07534194,  0.92465806]]))
('to note', array([[ 0.07534081,  0.92465919]]))
('to put', array([[ 0.07533418,  0.92466582]]))
('part in', array([[ 0.07532263,  0.92467737]]))
('involved in', array([[ 0.07528219,  0.92471781]]))
('it or', array([[ 0.0751997,  0.9248003]]))
('know it', array([[ 0.0751894,  0.9248106]]))
('under the', array([[ 0.07513146,  0.92486854]]))
('see if', array([[ 0.07513091,  0.92486909]]))
('history section', array([[ 0.07510253,  0.92489747]]))
('article for', array([[ 0.07508523,  0.92491477]]))
('it actually', array([[ 0.07507347,  0.92492653]]))
('wikipedia thank', array([[ 0.07495489,  0.92504511]]))
('maybe it', array([[ 0.07489505,  0.92510495]]))
('of this', array([[ 0.07488119,  0.92511881]]))
('only the', array([[ 0.07485177,  0.92514823]]))
('the history', array([[ 0.07481159,  0.92518841]]))
('it as', array([[ 0.07472459,  0.92527541]]))
('page thanks', array([[ 0.07472217,  0.92527783]]))
('edit page', array([[ 0.07472087,  0.92527913]]))
('we should', array([[ 0.0746894,  0.9253106]]))
('since the', array([[ 0.07468463,  0.92531537]]))
('continue to', array([[ 0.07464449,  0.92535551]]))
('editing the', array([[ 0.07463692,  0.92536308]]))
('name on', array([[ 0.07461632,  0.92538368]]))
('the definition', array([[ 0.07459944,  0.92540056]]))
('listed as', array([[ 0.07458898,  0.92541102]]))
('an image', array([[ 0.0745436,  0.9254564]]))
('the entry', array([[ 0.07451785,  0.92548215]]))
('edit the', array([[ 0.07450013,  0.92549987]]))
('both the', array([[ 0.0744457,  0.9255543]]))
('where there', array([[ 0.07414673,  0.92585327]]))
('taken from', array([[ 0.07403787,  0.92596213]]))
('article needs', array([[ 0.07391408,  0.92608592]]))
('this list', array([[ 0.07389147,  0.92610853]]))
('the argument', array([[ 0.0738192,  0.9261808]]))
('edit to', array([[ 0.07380574,  0.92619426]]))
('or the', array([[ 0.07380482,  0.92619518]]))
('put it', array([[ 0.07369906,  0.92630094]]))
('check the', array([[ 0.0736766,  0.9263234]]))
('note to', array([[ 0.07366317,  0.92633683]]))
('march 2006', array([[ 0.07365118,  0.92634882]]))
('to please', array([[ 0.07362746,  0.92637254]]))
('the tag', array([[ 0.07350909,  0.92649091]]))
('the title', array([[ 0.0734868,  0.9265132]]))
('actually the', array([[ 0.07340164,  0.92659836]]))
('the discussion', array([[ 0.07339254,  0.92660746]]))
('been there', array([[ 0.07337804,  0.92662196]]))
('the same', array([[ 0.07336824,  0.92663176]]))
('non neutral', array([[ 0.07333954,  0.92666046]]))
('to continue', array([[ 0.07328399,  0.92671601]]))
('this part', array([[ 0.07326836,  0.92673164]]))
('heard of', array([[ 0.07323561,  0.92676439]]))
('article at', array([[ 0.07316431,  0.92683569]]))
('ask the', array([[ 0.07312716,  0.92687284]]))
('section to', array([[ 0.07310464,  0.92689536]]))
('this edit', array([[ 0.07304638,  0.92695362]]))
('the point', array([[ 0.07302252,  0.92697748]]))
('2005 utc', array([[ 0.07301989,  0.92698011]]))
('see that', array([[ 0.07293953,  0.92706047]]))
('to let', array([[ 0.0729388,  0.9270612]]))
('this point', array([[ 0.07291675,  0.92708325]]))
('came to', array([[ 0.0728756,  0.9271244]]))
('edit history', array([[ 0.072821,  0.927179]]))
('article that', array([[ 0.07273715,  0.92726285]]))
('know about', array([[ 0.07267089,  0.92732911]]))
('the only', array([[ 0.07263977,  0.92736023]]))
('as part', array([[ 0.07261402,  0.92738598]]))
('seems to', array([[ 0.07259603,  0.92740397]]))
('article this', array([[ 0.07256834,  0.92743166]]))
('wondering if', array([[ 0.07251715,  0.92748285]]))
('to vote', array([[ 0.07248243,  0.92751757]]))
('at it', array([[ 0.07248101,  0.92751899]]))
('make the', array([[ 0.07239434,  0.92760566]]))
('welcome page', array([[ 0.07233647,  0.92766353]]))
('the case', array([[ 0.07231566,  0.92768434]]))
('to contact', array([[ 0.07223748,  0.92776252]]))
('sure it', array([[ 0.07216782,  0.92783218]]))
('it before', array([[ 0.0720935,  0.9279065]]))
('where the', array([[ 0.0719929,  0.9280071]]))
('page help', array([[ 0.07193692,  0.92806308]]))
('the articles', array([[ 0.07190787,  0.92809213]]))
('that but', array([[ 0.0718297,  0.9281703]]))
('was there', array([[ 0.071767,  0.928233]]))
('sure the', array([[ 0.07144349,  0.92855651]]))
('it please', array([[ 0.07143634,  0.92856366]]))
('that it', array([[ 0.07139856,  0.92860144]]))
('page if', array([[ 0.07134877,  0.92865123]]))
('but would', array([[ 0.07127418,  0.92872582]]))
('the way', array([[ 0.07115522,  0.92884478]]))
('say the', array([[ 0.07114518,  0.92885482]]))
('understand this', array([[ 0.07101498,  0.92898502]]))
('article as', array([[ 0.07095707,  0.92904293]]))
('this page', array([[ 0.07088873,  0.92911127]]))
('note that', array([[ 0.07088344,  0.92911656]]))
('made to', array([[ 0.07085761,  0.92914239]]))
('content from', array([[ 0.07063587,  0.92936413]]))
('edit this', array([[ 0.07053325,  0.92946675]]))
('from that', array([[ 0.07048564,  0.92951436]]))
('any questions', array([[ 0.07023966,  0.92976034]]))
('think this', array([[ 0.07021312,  0.92978688]]))
('note the', array([[ 0.07020473,  0.92979527]]))
('any other', array([[ 0.07018193,  0.92981807]]))
('to wp', array([[ 0.07016338,  0.92983662]]))
('to understand', array([[ 0.07011417,  0.92988583]]))
('wanted to', array([[ 0.0700601,  0.9299399]]))
('the wp', array([[ 0.07002957,  0.92997043]]))
('the process', array([[ 0.06994326,  0.93005674]]))
('to it', array([[ 0.06991738,  0.93008262]]))
('number of', array([[ 0.06991622,  0.93008378]]))
('quotes from', array([[ 0.06985949,  0.93014051]]))
('february 2006', array([[ 0.06985422,  0.93014578]]))
('from editing', array([[ 0.0698515,  0.9301485]]))
('name the', array([[ 0.06969771,  0.93030229]]))
('point to', array([[ 0.06966572,  0.93033428]]))
('the paragraph', array([[ 0.06965562,  0.93034438]]))
('talk page', array([[ 0.06952114,  0.93047886]]))
('the new', array([[ 0.06944279,  0.93055721]]))
('the book', array([[ 0.06943607,  0.93056393]]))
('need help', array([[ 0.06937817,  0.93062183]]))
('help the', array([[ 0.0693715,  0.9306285]]))
('there have', array([[ 0.06927906,  0.93072094]]))
('believe that', array([[ 0.06927046,  0.93072954]]))
('the number', array([[ 0.06926345,  0.93073655]]))
('put the', array([[ 0.06921754,  0.93078246]]))
('help in', array([[ 0.06918482,  0.93081518]]))
('article about', array([[ 0.06913347,  0.93086653]]))
('would say', array([[ 0.06906558,  0.93093442]]))
('but in', array([[ 0.06903805,  0.93096195]]))
('the original', array([[ 0.06891406,  0.93108594]]))
('encyclopedia thanks', array([[ 0.06884271,  0.93115729]]))
('it also', array([[ 0.06883801,  0.93116199]]))
('thanks to', array([[ 0.06882389,  0.93117611]]))
('to add', array([[ 0.0686228,  0.9313772]]))
('source of', array([[ 0.06825693,  0.93174307]]))
('name in', array([[ 0.06819193,  0.93180807]]))
('different from', array([[ 0.06810805,  0.93189195]]))
('the issue', array([[ 0.06808284,  0.93191716]]))
('in there', array([[ 0.06801855,  0.93198145]]))
('before the', array([[ 0.06799214,  0.93200786]]))
('but think', array([[ 0.06795015,  0.93204985]]))
('to know', array([[ 0.06787612,  0.93212388]]))
('please explain', array([[ 0.06786768,  0.93213232]]))
('added to', array([[ 0.06761667,  0.93238333]]))
('the sources', array([[ 0.06742607,  0.93257393]]))
('but we', array([[ 0.06741106,  0.93258894]]))
('ve made', array([[ 0.06738469,  0.93261531]]))
('is there', array([[ 0.06728773,  0.93271227]]))
('new article', array([[ 0.06706121,  0.93293879]]))
('it the', array([[ 0.06699541,  0.93300459]]))
('between the', array([[ 0.0669593,  0.9330407]]))
('would be', array([[ 0.06693673,  0.93306327]]))
('in that', array([[ 0.06690798,  0.93309202]]))
('the reason', array([[ 0.06671881,  0.93328119]]))
('see it', array([[ 0.06668372,  0.93331628]]))
('name of', array([[ 0.06665224,  0.93334776]]))
('not sure', array([[ 0.06661704,  0.93338296]]))
('but please', array([[ 0.06657063,  0.93342937]]))
('article there', array([[ 0.06647902,  0.93352098]]))
('about the', array([[ 0.06637748,  0.93362252]]))
('about this', array([[ 0.06634182,  0.93365818]]))
('the category', array([[ 0.06616753,  0.93383247]]))
('it it', array([[ 0.06610935,  0.93389065]]))
('if it', array([[ 0.06579277,  0.93420723]]))
('to any', array([[ 0.06561205,  0.93438795]]))
('sandbox thank', array([[ 0.06554649,  0.93445351]]))
('was the', array([[ 0.06554441,  0.93445559]]))
('article the', array([[ 0.06542779,  0.93457221]]))
('have to', array([[ 0.06538263,  0.93461737]]))
('in it', array([[ 0.06533328,  0.93466672]]))
('it is', array([[ 0.06524383,  0.93475617]]))
('it from', array([[ 0.06516886,  0.93483114]]))
('the page', array([[ 0.06510942,  0.93489058]]))
('article it', array([[ 0.06502502,  0.93497498]]))
('there it', array([[ 0.06501749,  0.93498251]]))
('where it', array([[ 0.06496211,  0.93503789]]))
('but if', array([[ 0.06485803,  0.93514197]]))
('know if', array([[ 0.06485324,  0.93514676]]))
('it could', array([[ 0.06485252,  0.93514748]]))
('image of', array([[ 0.06469852,  0.93530148]]))
('there at', array([[ 0.06463306,  0.93536694]]))
('the current', array([[ 0.0645382,  0.9354618]]))
('perhaps the', array([[ 0.06432483,  0.93567517]]))
('there was', array([[ 0.06421996,  0.93578004]]))
('please check', array([[ 0.06404129,  0.93595871]]))
('the the', array([[ 0.06400121,  0.93599879]]))
('article which', array([[ 0.0639686,  0.9360314]]))
('if we', array([[ 0.06380218,  0.93619782]]))
('make it', array([[ 0.06378911,  0.93621089]]))
('article seems', array([[ 0.06378584,  0.93621416]]))
('see wp', array([[ 0.0637468,  0.9362532]]))
('as it', array([[ 0.06355757,  0.93644243]]))
('the content', array([[ 0.06354804,  0.93645196]]))
('it but', array([[ 0.06351334,  0.93648666]]))
('that we', array([[ 0.06351015,  0.93648985]]))
('know the', array([[ 0.06345534,  0.93654466]]))
('it seems', array([[ 0.06336933,  0.93663067]]))
('the second', array([[ 0.06332561,  0.93667439]]))
('it good', array([[ 0.06325255,  0.93674745]]))
('regarding the', array([[ 0.06314261,  0.93685739]]))
('that would', array([[ 0.06303095,  0.93696905]]))
('from any', array([[ 0.06298435,  0.93701565]]))
('say that', array([[ 0.06295563,  0.93704437]]))
('the edit', array([[ 0.06293489,  0.93706511]]))
('that article', array([[ 0.06272912,  0.93727088]]))
('as to', array([[ 0.06271492,  0.93728508]]))
('to explain', array([[ 0.06263162,  0.93736838]]))
('please use', array([[ 0.06251639,  0.93748361]]))
('sorry if', array([[ 0.06240823,  0.93759177]]))
('sorry to', array([[ 0.06237418,  0.93762582]]))
('to edit', array([[ 0.06231766,  0.93768234]]))
('article in', array([[ 0.06227714,  0.93772286]]))
('think there', array([[ 0.06226805,  0.93773195]]))
('sorry about', array([[ 0.06213119,  0.93786881]]))
('the list', array([[ 0.06205968,  0.93794032]]))
('think that', array([[ 0.06201476,  0.93798524]]))
('to believe', array([[ 0.06188762,  0.93811238]]))
('please note', array([[ 0.06163145,  0.93836855]]))
('there has', array([[ 0.06148318,  0.93851682]]))
('see any', array([[ 0.06140751,  0.93859249]]))
('article could', array([[ 0.06132661,  0.93867339]]))
('there in', array([[ 0.06125507,  0.93874493]]))
('believe it', array([[ 0.06124798,  0.93875202]]))
('there are', array([[ 0.06116898,  0.93883102]]))
('article would', array([[ 0.06111576,  0.93888424]]))
('the two', array([[ 0.06103457,  0.93896543]]))
('would it', array([[ 0.06101602,  0.93898398]]))
('welcome hello', array([[ 0.06089522,  0.93910478]]))
('the picture', array([[ 0.06080118,  0.93919882]]))
('made the', array([[ 0.06057772,  0.93942228]]))
('part of', array([[ 0.06054728,  0.93945272]]))
('understand the', array([[ 0.06053081,  0.93946919]]))
('there were', array([[ 0.06028059,  0.93971941]]))
('to list', array([[ 0.06026851,  0.93973149]]))
('to help', array([[ 0.0602649,  0.9397351]]))
('help to', array([[ 0.0602647,  0.9397353]]))
('there but', array([[ 0.06005707,  0.93994293]]))
('from there', array([[ 0.06004085,  0.93995915]]))
('neutral point', array([[ 0.06000943,  0.93999057]]))
('there to', array([[ 0.05983043,  0.94016957]]))
('the part', array([[ 0.05935355,  0.94064645]]))
('from it', array([[ 0.05903148,  0.94096852]]))
('it to', array([[ 0.05882128,  0.94117872]]))
('came from', array([[ 0.05862402,  0.94137598]]))
('as the', array([[ 0.05860128,  0.94139872]]))
('to make', array([[ 0.05839259,  0.94160741]]))
('in any', array([[ 0.0583529,  0.9416471]]))
('the copyright', array([[ 0.05834124,  0.94165876]]))
('help check', array([[ 0.05829485,  0.94170515]]))
('there would', array([[ 0.05821258,  0.94178742]]))
('have any', array([[ 0.05798925,  0.94201075]]))
('great article', array([[ 0.05774841,  0.94225159]]))
('to check', array([[ 0.05743611,  0.94256389]]))
('about it', array([[ 0.05737221,  0.94262779]]))
('edit it', array([[ 0.05727279,  0.94272721]]))
('to ask', array([[ 0.05713333,  0.94286667]]))
('there any', array([[ 0.05697475,  0.94302525]]))
('it has', array([[ 0.05683926,  0.94316074]]))
('image copyright', array([[ 0.05679865,  0.94320135]]))
('article should', array([[ 0.05677994,  0.94322006]]))
('please see', array([[ 0.05666679,  0.94333321]]))
('article please', array([[ 0.0566412,  0.9433588]]))
('as there', array([[ 0.05663679,  0.94336321]]))
('it may', array([[ 0.05657275,  0.94342725]]))
('at the', array([[ 0.05646446,  0.94353554]]))
('may help', array([[ 0.05643569,  0.94356431]]))
('the talk', array([[ 0.05610402,  0.94389598]]))
('it if', array([[ 0.05600964,  0.94399036]]))
('it was', array([[ 0.05595199,  0.94404801]]))
('article from', array([[ 0.05545663,  0.94454337]]))
('list of', array([[ 0.05506626,  0.94493374]]))
('the source', array([[ 0.05477479,  0.94522521]]))
('the first', array([[ 0.05465437,  0.94534563]]))
('use the', array([[ 0.0542712,  0.9457288]]))
('from this', array([[ 0.05425335,  0.94574665]]))
('but it', array([[ 0.05400506,  0.94599494]]))
('it in', array([[ 0.05374324,  0.94625676]]))
('with the', array([[ 0.05353043,  0.94646957]]))
('article but', array([[ 0.05301312,  0.94698688]]))
('to this', array([[ 0.0529364,  0.9470636]]))
('it there', array([[ 0.05288966,  0.94711034]]))
('believe the', array([[ 0.05270679,  0.94729321]]))
('think the', array([[ 0.05265095,  0.94734905]]))
('the welcome', array([[ 0.05251589,  0.94748411]]))
('2006 utc', array([[ 0.05194278,  0.94805722]]))
('welcome to', array([[ 0.05153714,  0.94846286]]))
('for the', array([[ 0.05134934,  0.94865066]]))
('there is', array([[ 0.05130521,  0.94869479]]))
('added the', array([[ 0.05121137,  0.94878863]]))
('if the', array([[ 0.05093095,  0.94906905]]))
('sorry but', array([[ 0.05088425,  0.94911575]]))
('there the', array([[ 0.0506445,  0.9493555]]))
('the section', array([[ 0.05052889,  0.94947111]]))
('in this', array([[ 0.05012697,  0.94987303]]))
('the image', array([[ 0.05012211,  0.94987789]]))
('the help', array([[ 0.04859383,  0.95140617]]))
('to see', array([[ 0.04841099,  0.95158901]]))
('it would', array([[ 0.04821236,  0.95178764]]))
('article to', array([[ 0.04726962,  0.95273038]]))
('the name', array([[ 0.04436581,  0.95563419]]))
('but the', array([[ 0.04426674,  0.95573326]]))
('think it', array([[ 0.04391302,  0.95608698]]))
('that there', array([[ 0.04388815,  0.95611185]]))
('but there', array([[ 0.04355934,  0.95644066]]))
('it thanks', array([[ 0.04301032,  0.95698968]]))
('hi there', array([[ 0.04149767,  0.95850233]]))
('if there', array([[ 0.04084996,  0.95915004]]))
('see the', array([[ 0.03952297,  0.96047703]]))
('this article', array([[ 0.03894426,  0.96105574]]))
('thanks for', array([[ 0.03802464,  0.96197536]]))
('the article', array([[ 0.03772679,  0.96227321]]))
('of the', array([[ 0.03656232,  0.96343768]]))
('to the', array([[ 0.03612278,  0.96387722]]))
('from the', array([[ 0.03394054,  0.96605946]]))
('in the', array([[ 0.0319309,  0.9680691]]))
('that the', array([[ 0.03161373,  0.96838627]]))
