('the article', array([[ 0.99621849,  0.00378151]]))
('off of', array([[ 0.75559159,  0.24440841]]))
('anything you', array([[ 0.75555858,  0.24444142]]))
('you failed', array([[ 0.75492305,  0.24507695]]))
('you revert', array([[ 0.75389453,  0.24610547]]))
('stop stalking', array([[ 0.75367455,  0.24632545]]))
('am going', array([[ 0.75252621,  0.24747379]]))
('who the', array([[ 0.75195391,  0.24804609]]))
('you not', array([[ 0.75176566,  0.24823434]]))
('being such', array([[ 0.75101784,  0.24898216]]))
('out of', array([[ 0.75066167,  0.24933833]]))
('thieves you', array([[ 0.75014696,  0.24985304]]))
('pussy want', array([[ 0.75010609,  0.24989391]]))
('the arse', array([[ 0.75000857,  0.24999143]]))
('acting like', array([[ 0.7493693,  0.2506307]]))
('can stop', array([[ 0.74687347,  0.25312653]]))
('people you', array([[ 0.74675118,  0.25324882]]))
('because he', array([[ 0.74654616,  0.25345384]]))
('don give', array([[ 0.74637242,  0.25362758]]))
('stop editing', array([[ 0.74623975,  0.25376025]]))
('to you', array([[ 0.74623246,  0.25376754]]))
('nigga nigga', array([[ 0.74397822,  0.25602178]]))
('at your', array([[ 0.74383298,  0.25616702]]))
('to destroy', array([[ 0.74352466,  0.25647534]]))
('at you', array([[ 0.74342905,  0.25657095]]))
('life and', array([[ 0.74335159,  0.25664841]]))
('administrator prick', array([[ 0.74213016,  0.25786984]]))
('get away', array([[ 0.74193078,  0.25806922]]))
('go on', array([[ 0.7409943,  0.2590057]]))
('you the', array([[ 0.74095769,  0.25904231]]))
('the guy', array([[ 0.74006748,  0.25993252]]))
('what your', array([[ 0.7399643,  0.2600357]]))
('arse takes', array([[ 0.73955628,  0.26044372]]))
('is all', array([[ 0.73915633,  0.26084367]]))
('it up', array([[ 0.73893779,  0.26106221]]))
('you block', array([[ 0.73866211,  0.26133789]]))
('since you', array([[ 0.73863297,  0.26136703]]))
('how dare', array([[ 0.73833541,  0.26166459]]))
('sock puppet', array([[ 0.73733931,  0.26266069]]))
('what you', array([[ 0.73731075,  0.26268925]]))
('and pussy', array([[ 0.7372142,  0.2627858]]))
('you give', array([[ 0.73665725,  0.26334275]]))
('way you', array([[ 0.73630798,  0.26369202]]))
('whore eat', array([[ 0.73558559,  0.26441441]]))
('site is', array([[ 0.73555888,  0.26444112]]))
('you had', array([[ 0.73460994,  0.26539006]]))
('you or', array([[ 0.73300853,  0.26699147]]))
('it you', array([[ 0.73253027,  0.26746973]]))
('he is', array([[ 0.73169998,  0.26830002]]))
('guys are', array([[ 0.73113176,  0.26886824]]))
('who you', array([[ 0.72986775,  0.27013225]]))
('or you', array([[ 0.72883633,  0.27116367]]))
('go back', array([[ 0.72730172,  0.27269828]]))
('makes you', array([[ 0.72710156,  0.27289844]]))
('want you', array([[ 0.72502954,  0.27497046]]))
('you clearly', array([[ 0.72477452,  0.27522548]]))
('off jewish', array([[ 0.72439041,  0.27560959]]))
('edits you', array([[ 0.72286137,  0.27713863]]))
('go and', array([[ 0.72182654,  0.27817346]]))
('will go', array([[ 0.72146056,  0.27853944]]))
('whatever you', array([[ 0.72113523,  0.27886477]]))
('stop my', array([[ 0.72097977,  0.27902023]]))
('you call', array([[ 0.72087432,  0.27912568]]))
('let you', array([[ 0.71931497,  0.28068503]]))
('will you', array([[ 0.71762411,  0.28237589]]))
('this guy', array([[ 0.71721255,  0.28278745]]))
('you is', array([[ 0.71625797,  0.28374203]]))
('in your', array([[ 0.7159909,  0.2840091]]))
('because your', array([[ 0.71409747,  0.28590253]]))
('you ve', array([[ 0.71393807,  0.28606193]]))
('pigs you', array([[ 0.71319311,  0.28680689]]))
('your problem', array([[ 0.71317548,  0.28682452]]))
('you deleted', array([[ 0.71306039,  0.28693961]]))
('your last', array([[ 0.71280814,  0.28719186]]))
('you probably', array([[ 0.71271773,  0.28728227]]))
('wikipedia you', array([[ 0.71151873,  0.28848127]]))
('that your', array([[ 0.70841009,  0.29158991]]))
('you have', array([[ 0.70810423,  0.29189577]]))
('you like', array([[ 0.70790001,  0.29209999]]))
('you leave', array([[ 0.70750829,  0.29249171]]))
('you obviously', array([[ 0.70682037,  0.29317963]]))
('you even', array([[ 0.70610664,  0.29389336]]))
('is nothing', array([[ 0.70591515,  0.29408485]]))
('think your', array([[ 0.70509937,  0.29490063]]))
('you what', array([[ 0.70470738,  0.29529262]]))
('full of', array([[ 0.70323086,  0.29676914]]))
('you from', array([[ 0.70285721,  0.29714279]]))
('you come', array([[ 0.70251903,  0.29748097]]))
('you want', array([[ 0.69996102,  0.30003898]]))
('like fart', array([[ 0.69987159,  0.30012841]]))
('do you', array([[ 0.69873959,  0.30126041]]))
('bleachanhero kill', array([[ 0.69518123,  0.30481877]]))
('you an', array([[ 0.69498676,  0.30501324]]))
('you do', array([[ 0.69375249,  0.30624751]]))
('you ever', array([[ 0.69370894,  0.30629106]]))
('so you', array([[ 0.69275173,  0.30724827]]))
('no life', array([[ 0.69143618,  0.30856382]]))
('off and', array([[ 0.69059112,  0.30940888]]))
('you people', array([[ 0.68911839,  0.31088161]]))
('don like', array([[ 0.68576877,  0.31423123]]))
('prick fire', array([[ 0.68561815,  0.31438185]]))
('yourself go', array([[ 0.6850578,  0.3149422]]))
('my lick', array([[ 0.6829304,  0.3170696]]))
('ha ha', array([[ 0.68150757,  0.31849243]]))
('dickhead oi', array([[ 0.68137039,  0.31862961]]))
('niggers and', array([[ 0.67950521,  0.32049479]]))
('do your', array([[ 0.6766121,  0.3233879]]))
('edits faggot', array([[ 0.67591336,  0.32408664]]))
('you guys', array([[ 0.67425329,  0.32574671]]))
('you should', array([[ 0.67281332,  0.32718668]]))
('all day', array([[ 0.6721122,  0.3278878]]))
('gay bunksteve', array([[ 0.67135831,  0.32864169]]))
('god damn', array([[ 0.66937963,  0.33062037]]))
('and go', array([[ 0.66901252,  0.33098748]]))
('this you', array([[ 0.66654827,  0.33345173]]))
('take your', array([[ 0.66584195,  0.33415805]]))
('gay utc', array([[ 0.66465446,  0.33534554]]))
('dcks penis', array([[ 0.66460012,  0.33539988]]))
('too you', array([[ 0.66312487,  0.33687513]]))
('as your', array([[ 0.66283122,  0.33716878]]))
('of your', array([[ 0.66096371,  0.33903629]]))
('go to', array([[ 0.6608111,  0.3391889]]))
('grow up', array([[ 0.66004547,  0.33995453]]))
('you look', array([[ 0.65661859,  0.34338141]]))
('before you', array([[ 0.65499488,  0.34500512]]))
('you get', array([[ 0.6516246,  0.3483754]]))
('get off', array([[ 0.64972806,  0.35027194]]))
('will fuckin', array([[ 0.64907006,  0.35092994]]))
('go away', array([[ 0.6488991,  0.3511009]]))
('atheist cunt', array([[ 0.64867595,  0.35132405]]))
('delete my', array([[ 0.64699908,  0.35300092]]))
('because you', array([[ 0.64404479,  0.35595521]]))
('again you', array([[ 0.64394617,  0.35605383]]))
('yet you', array([[ 0.64319171,  0.35680829]]))
('is your', array([[ 0.64283656,  0.35716344]]))
('are all', array([[ 0.64067426,  0.35932574]]))
('you because', array([[ 0.64010085,  0.35989915]]))
('is you', array([[ 0.63980629,  0.36019371]]))
('hell am', array([[ 0.63239986,  0.36760014]]))
('thing you', array([[ 0.62767134,  0.37232866]]))
('penis anthony', array([[ 0.6249679,  0.3750321]]))
('an loser', array([[ 0.62423416,  0.37576584]]))
('up shut', array([[ 0.6207047,  0.3792953]]))
('right faggot', array([[ 0.61522325,  0.38477675]]))
('bitches that', array([[ 0.61462188,  0.38537812]]))
('wikipedia your', array([[ 0.61361099,  0.38638901]]))
('you who', array([[ 0.61304624,  0.38695376]]))
('loser am', array([[ 0.61136968,  0.38863032]]))
('time you', array([[ 0.61024768,  0.38975232]]))
('like your', array([[ 0.61021983,  0.38978017]]))
('your head', array([[ 0.61016826,  0.38983174]]))
('give you', array([[ 0.6071266,  0.3928734]]))
('jasenm222 sucks', array([[ 0.60667877,  0.39332123]]))
('wikipedians dickhead', array([[ 0.60550741,  0.39449259]]))
('you will', array([[ 0.60521216,  0.39478784]]))
('you still', array([[ 0.60286974,  0.39713026]]))
('gay im', array([[ 0.602006,  0.397994]]))
('nigger tommy2010', array([[ 0.60064997,  0.39935003]]))
('all your', array([[ 0.59671312,  0.40328688]]))
('mothjer fucker', array([[ 0.59499479,  0.40500521]]))
('faggot shithead', array([[ 0.59275302,  0.40724698]]))
('your own', array([[ 0.59092166,  0.40907834]]))
('nigger licker', array([[ 0.58549578,  0.41450422]]))
('motherfucker this', array([[ 0.58416288,  0.41583712]]))
('else you', array([[ 0.58320094,  0.41679906]]))
('your pussy', array([[ 0.58295981,  0.41704019]]))
('get you', array([[ 0.57296053,  0.42703947]]))
('the worst', array([[ 0.57176064,  0.42823936]]))
('piece of', array([[ 0.57122231,  0.42877769]]))
('faggot huge', array([[ 0.56978045,  0.43021955]]))
('block you', array([[ 0.56789575,  0.43210425]]))
('is homo', array([[ 0.56567954,  0.43432046]]))
('your life', array([[ 0.56566777,  0.43433223]]))
('homo like', array([[ 0.5635267,  0.4364733]]))
('ullmann sucks', array([[ 0.56217415,  0.43782585]]))
('lick you', array([[ 0.55942774,  0.44057226]]))
('with you', array([[ 0.55874118,  0.44125882]]))
('now you', array([[ 0.55868418,  0.44131582]]))
('am gay', array([[ 0.55838671,  0.44161329]]))
('you enjoy', array([[ 0.55685959,  0.44314041]]))
('you just', array([[ 0.55671624,  0.44328376]]))
('bradbury sucks', array([[ 0.55390928,  0.44609072]]))
('fat jew', array([[ 0.55367536,  0.44632464]]))
('you dont', array([[ 0.55352839,  0.44647161]]))
('jew fat', array([[ 0.55284625,  0.44715375]]))
('big fat', array([[ 0.54979459,  0.45020541]]))
('im gay', array([[ 0.54961795,  0.45038205]]))
('notrhbysouthbanof sucks', array([[ 0.54609982,  0.45390018]]))
('wikipedia die', array([[ 0.54134474,  0.45865526]]))
('your mum', array([[ 0.54121878,  0.45878122]]))
('die wikipedia', array([[ 0.54039655,  0.45960345]]))
('and you', array([[ 0.53857579,  0.46142421]]))
('and your', array([[ 0.5358052,  0.4641948]]))
('page you', array([[ 0.53452399,  0.46547601]]))
('asshole bongwarriorcongratualtions', array([[ 0.53166487,  0.46833513]]))
('guy is', array([[ 0.52939833,  0.47060167]]))
('me off', array([[ 0.52812134,  0.47187866]]))
('are you', array([[ 0.52721996,  0.47278004]]))
('you really', array([[ 0.52059572,  0.47940428]]))
('and stop', array([[ 0.51683898,  0.48316102]]))
('bastard pro', array([[ 0.51577296,  0.48422704]]))
('gay super', array([[ 0.51448448,  0.48551552]]))
('no you', array([[ 0.51307216,  0.48692784]]))
('dick robert', array([[ 0.50880695,  0.49119305]]))
('gay am', array([[ 0.5076159,  0.4923841]]))
('up you', array([[ 0.5030217,  0.4969783]]))
('super gay', array([[ 0.50159608,  0.49840392]]))
('vandalism motherfucker', array([[ 0.50006205,  0.49993795]]))
('with your', array([[ 0.4965518,  0.5034482]]))
('up your', array([[ 0.49325238,  0.50674762]]))
('dare you', array([[ 0.4907181,  0.5092819]]))
('cocksucker you', array([[ 0.4880813,  0.5119187]]))
('dirty whore', array([[ 0.48489881,  0.51510119]]))
('vagina vagina', array([[ 0.4840253,  0.5159747]]))
('you and', array([[ 0.48372355,  0.51627645]]))
('shut the', array([[ 0.47720839,  0.52279161]]))
('you piece', array([[ 0.47678292,  0.52321708]]))
('you all', array([[ 0.47601605,  0.52398395]]))
('you go', array([[ 0.47466429,  0.52533571]]))
('stop your', array([[ 0.47399187,  0.52600813]]))
('you stop', array([[ 0.46515151,  0.53484849]]))
('balls vagina', array([[ 0.46309668,  0.53690332]]))
('you don', array([[ 0.46202673,  0.53797327]]))
('dont you', array([[ 0.46097592,  0.53902408]]))
('re bastard', array([[ 0.46094639,  0.53905361]]))
('down nigger', array([[ 0.45951886,  0.54048114]]))
('on you', array([[ 0.457684,  0.542316]]))
('wanker wanker', array([[ 0.45610849,  0.54389151]]))
('damn you', array([[ 0.45354303,  0.54645697]]))
('shit anthony', array([[ 0.45246219,  0.54753781]]))
('yourself kill', array([[ 0.44902869,  0.55097131]]))
('faggots faggots', array([[ 0.44744099,  0.55255901]]))
('life you', array([[ 0.44532534,  0.55467466]]))
('you delete', array([[ 0.44273067,  0.55726933]]))
('of you', array([[ 0.44104825,  0.55895175]]))
('bunch of', array([[ 0.43897238,  0.56102762]]))
('don you', array([[ 0.43881609,  0.56118391]]))
('eats shit', array([[ 0.43862151,  0.56137849]]))
('hate niggers', array([[ 0.43678405,  0.56321595]]))
('get life', array([[ 0.43514599,  0.56485401]]))
('all you', array([[ 0.43116863,  0.56883137]]))
('is nigger', array([[ 0.42846474,  0.57153526]]))
('off my', array([[ 0.42665546,  0.57334454]]))
('your fat', array([[ 0.4017298,  0.5982702]]))
('you hate', array([[ 0.40091632,  0.59908368]]))
('huge faggot', array([[ 0.39995953,  0.60004047]]))
('you mother', array([[ 0.39684764,  0.60315236]]))
('you dirty', array([[ 0.3947798,  0.6052202]]))
('moron in', array([[ 0.38942184,  0.61057816]]))
('want suck', array([[ 0.37488738,  0.62511262]]))
('your mother', array([[ 0.37049789,  0.62950211]]))
('hate hate', array([[ 0.37039025,  0.62960975]]))
('me you', array([[ 0.36981631,  0.63018369]]))
('retarded your', array([[ 0.36919794,  0.63080206]]))
('like you', array([[ 0.36842204,  0.63157796]]))
('hi moron', array([[ 0.36694819,  0.63305181]]))
('moron hi', array([[ 0.36586813,  0.63413187]]))
('yourself you', array([[ 0.36406806,  0.63593194]]))
('to hell', array([[ 0.35528929,  0.64471071]]))
('shit nice', array([[ 0.35313148,  0.64686852]]))
('stop being', array([[ 0.35247245,  0.64752755]]))
('fag fag', array([[ 0.35226357,  0.64773643]]))
('to kill', array([[ 0.34392122,  0.65607878]]))
('the hell', array([[ 0.34214846,  0.65785154]]))
('cunt your', array([[ 0.32258145,  0.67741855]]))
('nigger you', array([[ 0.31400328,  0.68599672]]))
('fun dick', array([[ 0.3089725,  0.6910275]]))
('fuckin kill', array([[ 0.30781031,  0.69218969]]))
('you re', array([[ 0.28734857,  0.71265143]]))
('you you', array([[ 0.28526851,  0.71473149]]))
('cunt damn', array([[ 0.28447874,  0.71552126]]))
('dickhead your', array([[ 0.2822376,  0.7177624]]))
('your dickhead', array([[ 0.28047011,  0.71952989]]))
('my cock', array([[ 0.27727668,  0.72272332]]))
('fucker cocksucker', array([[ 0.27097789,  0.72902211]]))
('your retarded', array([[ 0.26346619,  0.73653381]]))
('ass in', array([[ 0.25347236,  0.74652764]]))
('sucks cocks', array([[ 0.25103362,  0.74896638]]))
('faggot faggot', array([[ 0.24599829,  0.75400171]]))
('off you', array([[ 0.24286889,  0.75713111]]))
('kill yourself', array([[ 0.24172302,  0.75827698]]))
('cock you', array([[ 0.2320996,  0.7679004]]))
('cunt cunt', array([[ 0.22758023,  0.77241977]]))
('is moron', array([[ 0.2179983,  0.7820017]]))
('ass piece', array([[ 0.21443829,  0.78556171]]))
('fat cunt', array([[ 0.21395389,  0.78604611]]))
('you cunt', array([[ 0.20498737,  0.79501263]]))
('vagina dick', array([[ 0.1942753,  0.8057247]]))
('dick you', array([[ 0.19352527,  0.80647473]]))
('sucks fat', array([[ 0.19295228,  0.80704772]]))
('niggas fuck', array([[ 0.19161257,  0.80838743]]))
('penis penis', array([[ 0.19099611,  0.80900389]]))
('nigger nigger', array([[ 0.19016046,  0.80983954]]))
('ass and', array([[ 0.17582105,  0.82417895]]))
('yourselfgo fuck', array([[ 0.17273606,  0.82726394]]))
('fuck yourselfgo', array([[ 0.17273606,  0.82726394]]))
('vista fucking', array([[ 0.17209487,  0.82790513]]))
('mother ass', array([[ 0.1668484,  0.8331516]]))
('fuck niggas', array([[ 0.16162699,  0.83837301]]))
('mother fucker', array([[ 0.16139132,  0.83860868]]))
('shut up', array([[ 0.16007633,  0.83992367]]))
('fat dick', array([[ 0.15125113,  0.84874887]]))
('can suck', array([[ 0.15101881,  0.84898119]]))
('fucking fired', array([[ 0.14638923,  0.85361077]]))
('kill you', array([[ 0.14533725,  0.85466275]]))
('minorities fucking', array([[ 0.13622547,  0.86377453]]))
('suck you', array([[ 0.1268296,  0.8731704]]))
('you are', array([[ 0.12158343,  0.87841657]]))
('bullshit bullshit', array([[ 0.11673595,  0.88326405]]))
('suck your', array([[ 0.11573812,  0.88426188]]))
('is gay', array([[ 0.11268514,  0.88731486]]))
('cock suck', array([[ 0.1070848,  0.8929152]]))
('fucking in', array([[ 0.09709172,  0.90290828]]))
('hate you', array([[ 0.09514725,  0.90485275]]))
('dick penis', array([[ 0.0895284,  0.9104716]]))
('dick faggot', array([[ 0.08946317,  0.91053683]]))
('the ass', array([[ 0.08695266,  0.91304734]]))
('sucks penis', array([[ 0.08673321,  0.91326679]]))
('shit is', array([[ 0.08367697,  0.91632303]]))
('huge fucking', array([[ 0.08307335,  0.91692665]]))
('my shit', array([[ 0.08146643,  0.91853357]]))
('suck suck', array([[ 0.08014751,  0.91985249]]))
('you bitch', array([[ 0.07542173,  0.92457827]]))
('suck my', array([[ 0.07171949,  0.92828051]]))
('asshole you', array([[ 0.07028271,  0.92971729]]))
('is shit', array([[ 0.06542535,  0.93457465]]))
('an asshole', array([[ 0.06512293,  0.93487707]]))
('you ass', array([[ 0.06501907,  0.93498093]]))
('ass ass', array([[ 0.04912846,  0.95087154]]))
('sucks dick', array([[ 0.04850364,  0.95149636]]))
('all fuck', array([[ 0.04837094,  0.95162906]]))
('faggot ass', array([[ 0.04764273,  0.95235727]]))
('fuck balls', array([[ 0.04270643,  0.95729357]]))
('pussy fucking', array([[ 0.04201723,  0.95798277]]))
('fucking get', array([[ 0.03803675,  0.96196325]]))
('fuck down', array([[ 0.03706494,  0.96293506]]))
('bitches fuck', array([[ 0.03468992,  0.96531008]]))
('wikipedia fuck', array([[ 0.03401331,  0.96598669]]))
('fucking bitches', array([[ 0.03290898,  0.96709102]]))
('fuck bitches', array([[ 0.03030249,  0.96969751]]))
('your ass', array([[ 0.02681518,  0.97318482]]))
('of shit', array([[ 0.02564538,  0.97435462]]))
('fuck wikipedia', array([[ 0.02278171,  0.97721829]]))
('you suck', array([[ 0.02216189,  0.97783811]]))
('suck dick', array([[ 0.02117561,  0.97882439]]))
('fucking hate', array([[ 0.01710537,  0.98289463]]))
('penis fuck', array([[ 0.01429782,  0.98570218]]))
('fucker fuck', array([[ 0.01379402,  0.98620598]]))
('idiot idiot', array([[ 0.01255766,  0.98744234]]))
('cunt fuck', array([[ 0.01033531,  0.98966469]]))
('dick fucking', array([[ 0.0099014,  0.9900986]]))
('fuck up', array([[ 0.00933599,  0.99066401]]))
('are fucking', array([[ 0.00807272,  0.99192728]]))
('an idiot', array([[ 0.00766169,  0.99233831]]))
('you stupid', array([[ 0.00714141,  0.99285859]]))
('is fucking', array([[ 0.00563015,  0.99436985]]))
('ass fuck', array([[ 0.00549387,  0.99450613]]))
('your fucking', array([[ 0.00515539,  0.99484461]]))
('fuck your', array([[ 0.00510532,  0.99489468]]))
('bitch fuck', array([[ 0.00456619,  0.99543381]]))
('you fuck', array([[ 0.0038742,  0.9961258]]))
('fuck yourself', array([[ 0.00337273,  0.99662727]]))
('fucking asshole', array([[ 0.0022153,  0.9977847]]))
('go fuck', array([[ 0.00161957,  0.99838043]]))
('you fucking', array([[ 0.00100918,  0.99899082]]))
('fuck fuck', array([[  8.42064549e-04,   9.99157935e-01]]))
('fuck off', array([[  7.61642323e-04,   9.99238358e-01]]))
('the fuck', array([[  6.93397031e-04,   9.99306603e-01]]))
('fuck you', array([[  8.16227114e-05,   9.99918377e-01]]))
